"name","ID","link","recommend","liked","disliked","experience","comment"
"Смартфон OnePlus 13 12/256GB Black Eclipse","0abf60a182ffe85d3187ed95a73e568b","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-13-12256gb-black/","рекомендує цей товар","Дизайн та ціна а також акумулятор та камери + максимальна  комплектація","Немає оновлень та трохи крива Oxygen 15 (305 версія","кілька тижнів","OnePlus (Китайська версія + OxygenOS): Мої враження та реалії використання після вибору між топовими флагманами
Переходив з Poco F3 на 870 Snap який працював як годиник 4 роки без нарікань тому залишився як робочий.

Після тривалих роздумів між Samsung S24 Ultra та Google Pixel 9 XL, моє бажання спробувати OnePlus з його фірмовою оболонкою OxygenOS взяло гору. Аналіз оглядів підтвердив, що обрана модель (ймовірно, OnePlus 12) відзначається видатною автономністю та камерою, яка, за відгуками, гідно конкурує, а іноді й перевершує конкурентів від Google та Apple у фотографії.

З метою значної економії, я зупинився на китайській версії телефону, яку було перепрошито на OxygenOS. Різниця в ціні становила близько $250, до того ж комплект включав потужний 100-ватний зарядний пристрій, що є відчутним бонусом (окремо коштує $40-50).

Неочікувані складнощі (Програмне забезпечення):

Це рішення, хоч і вигідне фінансово, має свої особливості, переважно пов'язані з програмним забезпеченням:

Відсутність офіційних оновлень: Встановлена прошивка не підтримує автоматичні оновлення, що є значним мінусом.
Проблеми зі швидкістю в окремих додатках: Попри успішне зняття регіонального блокування та робочий NFC, деякі специфічні додатки та їх налаштування (зокрема банківські, Spotify, процес оновлення в Play Market) працюють з дивною повільністю. Це створює враження, ніби телефон у цих моментах використовує VPN або має інші труднощі з мережею чи сервісами.
Феноменальна швидкість в інших задачах: Важливо наголосити, що ця проблема локалізована. У всіх інших сценаріях використання (запуск програм, навігація інтерфейсом, ігри) телефон демонструє надзвичайну продуктивність і швидкість роботи.


Переваги апаратної платформи та користувацького досвіду, не пов'язаного з вищезгаданими глюками, дійсно перекривають недоліки прошивки для мене:

Ідеальне співвідношення ціна/можливості: За $625 отримати такий набір характеристик – це унікальна пропозиція.
Якість матеріалів та збірки: Телефон відчувається як справжній флагман.
Автономність: Акумулятор забезпечує вражаючі 2 дні роботи з приблизно 8 годинами активного екрану.
Швидкість зарядки: Зарядка до 40% всього за 10 хвилин – це функція, яка змінює щоденне використання.
Дисплей: Якісний, яскравий та зручний екран з легким заокругленням.
Камера: Можливості камери приємно здивували. Фотографії виходять з природними кольорами, без надмірної обробки чи ""перешарпу"". Навіть сторонні моди Google Camera не дають такого якісного та натурального результату, як стандартний додаток. Безліч налаштувань дозволяють адаптувати зйомку під будь-які умови.
Звук: Динаміки забезпечують чисте та гучне звучання.


В сухому залишку, за свою ціну я отримав пристрій з апаратним забезпеченням топового рівня, що стосується продуктивності, камери, автономності та швидкості зарядки. Ціна, якість збірки та комплектація роблять його надзвичайно привабливим варіантом.

Проблеми з повільністю в деяких додатках є прямою платою за вибір неофіційного ПЗ. Наразі розглядаю можливість спроби оновити прошивку до більш стабільної версії або ж повернутися на офіційну ColorOS (призначену для китайської версії), щоб забезпечити стабільну роботу всіх сервісів та регулярні оновлення, навіть якщо це означатиме відмову від частини досвіду OxygenOS.

Цей телефон – відмінний вибір для тих, хто цінує топове залізо та готовий миритися або працювати над вирішенням потенційних програмних нюансів"
"Смартфон OnePlus 13 16/512GB Arctic Dawn","38acf542287b453da5e5070afea16478","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-13-16512gb-white/","рекомендує цей товар","Еволюція One+ продовжується.Екран,не водопад,і це реальний кайф(пристрій відчуваеться набато тоншим).Відносно легкий порівняно з конкурентами.Блок основних камер не громіздкий","Могли б акумулятор і побільше впихнути.Тоді б гаджет тримав 3 повні доби в моєму випадку..А так 2 з половиною доби витягує","кілька тижнів","Глобал версію планував взяти чорну але я завжди користуюсь чехлом-накладкою,тому взяв білий(він трохи дешевший зараз і доступніший)"
"Смартфон OnePlus 13 12/256GB Black Eclipse","0abf60a182ffe85d3187ed95a73e568b","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-13-12256gb-black/","рекомендує цей товар","Приємний дизайн, якісні матеріали та збірка, чудовий екран. .Продуктивність на вищому рівні, усе просто літає, Antutu 2700000 балів. .Адекватний набір камер, нічого зайвого і в той же час немає безтолкових модулів-заглушок. .Звук з динаміків гучний та об'ємний, баси теж присутні..Підтримка USB 3.0.Класний вібромоторчик з Haptic feedback..Велика батарея 6000Ma*Г та пристойна автономність, звісно якщо не грати у ігри..Ультразвуковий сканер відбитків пальців спрацьовує дуже швидко і майже без помилок..Дуже приємна ціна на китайську версію, тут взагалі без конкурентів","Камери могли б бути кращими, самі модулі дуже непогані, але софтова обробка фото не завжди адекватна. Знімки вигладають ненатуральними, перешарпленими, з завищеною контрасністю і занизькою експозицією, дуже різкими контурами об'єктів (здебільного це стосується основної камери, телевік меньше від цього страждає). Після Xiaomi Mi 11 Ultra цей телефон у плані камер не вражає, але сподіваюся що в майбутньому GCam це виправить..Великий отвір фронтальної камери, прямо по центру екрану і сильно кидається у очі..2.5D дісплей створить проблеми при виборі плівки чи захисного скла, краще б він був повністю плаский..Баг з Wi-Fi - якщо телефон автоматично підключається до роутера і екран при цьому заблокований (наприклад коли приходиш додому), оболонка може заглючити і декілька разів перезавантажитися (це стосується лише китайської версії, перешитої на OxygenOS 305).Після Xiaomi HyperOS, Oxygen відчувається трохи порізаною і спрощеною, тут явно меньше різніх фіч і налаштувань..Гугловські додатки для дзвінків та смс - то повний треш","кілька тижнів","Придбав китайську версію PJZ110 у одному з наших магазинів. Одразу була прошита на OxygenOS v305, оновлення заблоковані, загрузчик закритий, Google Pay працює. У коробці, на відміну від глобальної версії, є чохол та зарядка на 100Вт (але supervooc, не PD). Загалом враження від телефона позитивні, але напевно буду прошивати його на 'рідну' китайську ColorOS щоб були OTA оновлення і додаткові фішки."
"Смартфон OnePlus Ace 3V 12/512GB Purple","b2d1cb5e0f9b3f53592dc4f1e5977092","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-ace-3v-12512gb-purple/","рекомендує цей товар","Швидкий, гарна автономність, дууууже швидка зарядка, гарні камери, приємна ціна за такий телефон","нічого","кілька тижнів","Телефоном задоволений, швидкість роботи, швидкість зарядки, щось до пів години повністю заряджається, тримає заряд відмінно, мені вистачає більше ніж на день заряду, що під вечір лишається 50% в гіршому випадку 45% заряду, поставив на зарядку на 30% хвилин 20 може й менше і вже повна зарядка, не треба лишати на ніч, це приємно, купував у магазині pixophone ще й отримав акумулятор в подарунок і перехідник під наші розетки, приємно:) телефон рекомендую якщо когось не засмучує китайська версія прошивки Color OS, до всього вона працює чудово, є звісно китайщина яка видаляється, не зміг видалити браузер і їхній маркет, а справа замість шторки новин від гугл їхня китайська, при бажанні можна самому перепрошити на глобалку, але це на свій смак, я відразу скачав і перепрошив на 15 андроїд і 15 Color OS, всім задоволений"
"Смартфон OnePlus Nord 4 16/512GB Obsidian Midnight","82000b2ac2aa9340089b1d50a4d61b90","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-nord-4-16512gb-obsidian-midnight/","рекомендує цей товар","Батарея, ергономіка, швидкість, приємний інтерфейс ОС","Немає e sim, ціна, немає зарядного в комплекті, трохи слизький","кілька тижнів","Користуюсь Nord 4 трохи більше тижня. Вибирав між ним і Xiaomi 14t. При виборі головне було - екран НЕ водоспад, батарея побільше, глобальна версія. Плюси: батарея суперова, тримає довго і заряджає швидко, я свій мі9 se через батарею і змінив. Фірмової зарядки немає в комплекті, від зарядки з PD бере 30 ват.Зручно сидить в руці, в порівнянні з Xiaomi 14t шикарно, в 14т ну дуже ріжуть ребра телефону в долоню. Мінуси: немає е сім, 14т продається на кожному кроці, відповідно в майбутньому  якщо якийсь ремонт, з Xiaomi простіше. Швидкість шикарна, екран теж. Прилетіла обнова на Андроїд 15. Ще з мінусів - слизький. Фото мене не цікавить, не підкажу, лічильники фотографує без проблем:) Сам телефон рекомендую, дуже класний, але потрібно дивитись на нових конкурентів по ціні."
"Смартфон OnePlus 12 16/512GB Flowy Emerald","2d053e0c8b05fccc19f5eadec9fdea08","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-12-16512gb-green/","рекомендує цей товар","Бомбезний дизайн..Нереально крутий екран..Вражаюча швидкість роботи..На моє здивування, чудова камера..Якісне вібровідгук..Висока продуктивність..Телефон залишається холодним навіть під навантаженням..Загалом, хороше програмне забезпечення..Шикарна комплектація, до якої входить зарядка на 100 Вт","Деякі недоліки програмного забезпечення:.- Поганий переклад на українську мову: коли одна буква переноситься на новий рядок — це просто катастрофа, аж кидає в піт..- Криво ""запозичені"" фішки з iPhone: наприклад, додаток Погода виглядає недоробленим..- Незручна бокова панель: реалізована неакуратно і викликає дискомфорт у використанні...Захисне покриття екрану.- Я не розумію, як воно настільки легко дряпається...Аксесуари.- Класних аксесуарів майже немає. Вибір дуже обмежений","кілька місяців","Дуже вчасний відгук, розумію.
Коли я дивився огляди цього телефону, вже маючи його на руках, складалося враження, що ті, хто роблять огляди, цим телефоном ніколи не користувалися.

У телефону явно не ідеальне ПЗ. Китайці люблять копіювати фішки з iPhone, але роблять це дуже погано, і виглядає це, як сідло на корові. Навіщо додавати свій ""динамічний острів"" для зміни режимів? Це лише порушує консистентність дизайну. А чи дійсно так складно доопрацювати додаток погоди? Там же треба тільки дизайн оновити — це навіть для мене робота на день!

Я купив китайську версію телефону і сам його прошив. Усе працює чудово, і в бонус отримав класну зарядку на 100 Вт.
Мало того, що телефон заряджається дуже швидко, так він ще й добре тримає заряд — його легко вистачає на день, а іноді й на два, якщо не користуватися інтенсивно.

У телефону один із найкращих екранів, який дійсно вражає. Він явно кращий, ніж у iPhone 15 Pro Max, хоча захисне покриття залишає бажати кращого.

Звук у телефону посередній, значно гірший, ніж у iPhone 15 Pro Max. Для цього класу він міг би бути кращим, але за свою ціну — прийнятно.

Телефон має справді хорошу камеру. Ніколи б не подумав отримати таку якість у китайському телефоні за ці гроші. Вона явно не поступається iPhone.

Телефон добре охолоджується, хоч і сильно тротлить. Завдяки цьому, після невеликих налаштувань, на ньому можна довго грати, не хвилюючись за перегрів чи батарею. Я навіть повністю пройшов ""Відьмака 3"" (Winlator Glibc).

Попри свої великі габарити, телефон здається маленьким і тонким, а в руках відчувається, як справжній преміальний пристрій.

Однак для телефону дуже мало якісних аксесуарів. З-поміж класних тонких чохлів є лише один варіант — Later Case! Це тобі не iPhone, для якого є аксесуари на будь-який смак."
"Смартфон OnePlus 10T 5G 12/256GB Moonstone Black","8519061c9bf214f3f2559662d8bc3d94","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-10t-5g-12256gb-moonstone-black/","рекомендує цей товар","Швидкодія,прошивка,дизайн.Потужний зарядний пристрій на 160 Вт в комплекті,непоганий комплектний чохол..За цю ціну конкурентів дуже мало","Трошки зажали грошей на модуль камери і акумулятор 4800 а не 5000).Яскравість екрану під питанням,таке враження що можна було і більше","рік і більше",""
"Смартфон OnePlus 12R 16/256GB Cool Blue","063e1f6ffbed2fc2d9a76c2d6e39a0ae","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-12r-16256gb-cool-blue/","рекомендує цей товар","Автономність, стійкість сигналу, процесор","UFS3.1, важко знайти чохол та скло для захисту","кілька тижнів","В цілому дуже гідний телефон.
 Батарея - тримає дуже добре при дуже активному використанні на вечір ще 30% залишається. Також я вже забув що це ставити телефон на зарядку наніч. В цьому просто немає сенсу. В будь який момент поставив, поки попив чай чи прийняв дущ він вже 100%. Це мега зручно!
Зв'язок - це взагалі щось неймовірнеч в той час коли поруч людина з топовим самсунгом чи айфоном страждає від поганого сигналу і інтернету, у мене на тому ж операторі все літає. Тут рівних йому немає!
Еркан - гарний, насичений, без недоліків
Залізо - телефон літає, немає навіть мікрофрізів. Супер стабільний і швидких. Хоч і пам'ять у нього ufs.3.1 лише
Камера - Основний модуль шикарний, флагманський. Фотографує дуже достойно як вдень так і вночі. Решта модулів просто норм.
Дизайн - в цілому дизайн хороший. Блок камер не випирає так сильно як у 12, лише на 1-2мм. Колір корпусу синій не такий яскравий як на фото. Він більш блідий, що є плюсом."
"Смартфон OnePlus Nord 4 16/512GB Oasis Green","0b52a08007fb3ddb25d0604e0fa9e29b","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-nord-4-16512gb-oasis-green/","рекомендує цей товар","Коли береш новий смартфон в руки одразу відчуття нової іграшки) Швидкий, екран без заокруглень, плівка з заводу наклеєна. Все літає, але якісь важкі ігри на ньому не тестив","Комплектація!!! станом на 20.10.2024 купив модель 16/512 (європейська версія) за 22 999,00 грн + доставка149,00 ))) хотівби за ці гроші побачити ще блок живлення та кейс (чохол","кілька днів","Відчуття як від нового смартфона)) ще й улюбленого бренду, в мене це вже третій Ванплас. Перший купив собі 5 ще в 2017 році тоді і відкрив для себе цей бренд і не разу не пожалкував (хоча інколи вони починають жити своїм життям, самі телефонують з карману)"
"Смартфон OnePlus 12 16/512GB Silky Black","f0afd7cf47de78980bdce8f048f8aef9","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oneplus-12-16512gb-black/","рекомендує цей товар","Спочатку думав що нічим не відрізняється від попередника One+11,окрім камер та каменю.Якщо порівнювати,то це робота над помилками..Покращення у всьому,особливо радує автономність .Тримає зяряд від 100 до 20% понад 2доби","Нічого","кілька тижнів","Спочатку задивлявся на ACE3Pro,але це ""КИТАЙ""
P.S.мені дістався американець."
