"name","ID","link","recommend","liked","disliked","experience","comment"
"Смартфон OPPO A3 4G 6/128GB Starlight White","e590d42f6fb81d03679716bb54f21785","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a3-4g-6128gb-starlight-white/","рекомендує цей товар","Гарний дизайн,ціна,час роботи","Не виявив","кілька днів","Телефон непоганий,не висне,гарний дизайн,на дисплеї все гарно видно,звук гучний,якість камери могла бі бути трошки краще,як на мене.Чохол в комплекті не йде."
"Смартфон OPPO A78 4G 8/256GB Mist Black","6ec2b4e67904095c34e640797cae3c80","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a78-8256gb-black/","рекомендує цей товар","Всё","Внешний вид глазков камер на любителя, но это я уже придираюсь, в остальном всё отлично","кілька тижнів","За свои деньги отличный аппарат. Симпатичный внешний вид, батарея хорошо держит и заряжается родной зарядкой 67Вт за 50 мин (2-100%).  Хороший экран, сочная картинка, и яркости хватает в солнечный день. Шустро работает в обычных приложениях (в игры не играю). По тестам приличная камера, по личным наблюдениями нареканий не было, и ночной режим отлично работает. 2sim+ microSD одновременно это отдельный плюс, громкий динамик, и ещё много всего"
"Смартфон OPPO Reno11 F 8/256GB Ocean Blue","1a7e7eafb41853d7a6ea2b9eb37bdfaf","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno11-f-8256gb-ocean-blue/","рекомендує цей товар","Дизайн.Екран .Системна оболонка.Камери.Швидкість зарядки","Немає такого","кілька місяців","Топовий екран! Якісь збірки на високому рівні рівно як і швидкість зарядки смартфону! Чудова оболонка та наявність ШІ функцій пов'язаних з галереєю (AI Eraser and etc). Чудові характеристики, збалансований смартфон по продуктивності. Дуже хороші камери! В подарунок був оригінальний чохол!"
"Смартфон OPPO Reno12 F 5G 8/256GB Black Green","a3d3e9d1599bd7d7264f88cbbf6674b2","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno12-f-5g-8256gb-olive-green/","рекомендує цей товар","Комплектація( блок,кабель,чохол,захисна плівка вже на екрані)купив і користуйся.Яскравий екран,звук, оновлення системи .Цікава програма ШІ з фотографіями,швидкість зарядки.Яскравість та якість екрана.можливо  налаштовувати яскравість ліхтарика. Блок живлення 45 w. Дуже сподобалося що чохол який в комплекті продумані! Чохол мае бортики для камер (коли кладеш на стіл то камери не торкаються стола  і не затираються!)чохли якісні та стильні в чорно зеленому в колір телефону( дорого виглядає) ,а в ? прозорий щоб показати стильний колір. мають ребристу поверхню","Поки не виявив","кілька днів","Комплектація,оновлення смартфона ,сертифіковано в Україні. Дивився огляди показують що можна екраном бити  горіхи тестувати не буду хоча не зайве така функція. Я впевнений що  ОРРО оновить і до 15 Андроида. Присутня Українська мова ."
"Смартфон OPPO Reno12 5G 12/256GB Black Brown","db10e48815d2582c7a96539ec632df21","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno12-5g-12256gb-black-brown/","рекомендує цей товар","Екран.Батарея.Кольори.Камери.Об'єм постійної та оперативної пам'яті.Оболонка дуже приємна.Дизайн телефону","Немає","кілька місяців","Чудовий телефон зі збалансованими характеристиками! Чудовий екран! Багато ШІ функцій як у галереї так у браузері. Можна зробити Summary статті, але тільки Англійською, Іспанською та іншими мовами, української немає. Те ж саме стосується і функцій AI Speak and AI Reply. Круті камери, якісь фото та відео просто вау, причому як на тилову так і на фронтальну камери. Оболонка гідна окремих слів - ColorOS дуже швидка,приємний Інтерфейс та досвід використання дуже крутий! Плавність роботи на високому рівні!"
"Смартфон OPPO Reno12 Pro 5G 12/512GB Nebula Black","5b2ada13c6eca34904d1740f898d907a","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno12-pro-5g-12512gb-nebula-black/","рекомендує цей товар","Дуже хороший телефон плавно працює операційна батарея ідеально тримає","Немає","кілька днів",""
"Смартфон OPPO Reno11 F 8/256GB Palm Green","6318173d39868a4009198514cfd181a0","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno11-f-8256gb-palm-green/","рекомендує цей товар","Дизайн, ергономіка, звук, яскравість дисплею","немає","кілька тижнів","Окремо хочеться відмітити швидкість зарядки і автономність.
Цілком задоволений"
"Смартфон OPPO Reno11 F 8/256GB Palm Green","6318173d39868a4009198514cfd181a0","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno11-f-8256gb-palm-green/","рекомендує цей товар","Цвет, лагов ноль, работает быстро","Не хватает телевика","кілька тижнів","Телефоном в целом доволен, но апдейта камеры по сравнению с Рено 10 я не заметил, + теперь зум цифровой, лучше бы вместе макро - модуля вернули телевик."
"Смартфон OPPO A78 4G 8/256GB Mist Black","6ec2b4e67904095c34e640797cae3c80","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a78-8256gb-black/","рекомендує цей товар","Камера, звук зарядка, екран","Не має чохла у комплекті, інші китайці ставлять","кілька тижнів","Гарний, потужний та якісний телефон. На скільки раніше я зі скепсисом відносилась до цього бренду, але цей телефон перевершив мої очікування. За ці гроші камера зі стабілізацією, зарядка 67вт, крутий стерео звук та дуже класний екран, рекомендую!"
"Смартфон OPPO Reno8 T 8/128GB Black Starlight","a247b3d584011f102a8ce65bacaceb1b","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno8-t-8128gb-black-starlight/","рекомендує цей товар","Хороша камера","не виявив","кілька годин","Шустрий телефон, з крутим екраном, для ігор та роботи підходить!"
"Смартфон OPPO Reno10 Pro 12/256GB Silvery Grey","16a56fe251df6d1e6c99ab6bcd514129","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno10-pro-12256gb-silvery-grey/","рекомендує цей товар","крутий смартфон! Фотки виходять кльово, швидко працює і батарея довго тримає. Я задоволений","Немає недоліків","кілька місяців",""
"Смартфон OPPO Reno5 Lite 8/128GB Fluid Black","5015a843df7030d96e2e444181441452","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno5-lite-8128gb-fluid-black/","не рекомендує цей товар","Привабливий, але не зручний дизайн","Майже все","рік і більше","Це найгірший телефон який я коли небудь купувала! Я не думала, що телефони можуть бісити. Автономність роботи просіла після пів року використання. Яскравість екрану на найнижчій позначці освітлює всю кімнату. Задня кришка сильно подряпалась просто будучи в чохлі і стало жахливим на вид. Основна камера дуже розтягує знімки, настільки, що ви не зможете їх переглядати, бо вони жахливі! А фронтальна змінить Вас настільки, що ви просто не впізнаєте себе, АІ який так нахвалювали намагається перетворити ваше обличчя на лялькове, але виглядає це дуже штучно, таке відчуття наче дитина дізналась про фотошоп.. Часто відпадає вай-фай, не можна затуляти верх телефону, навіть долонею. Не зручне розташування кнопок гучності і живлення."
"Смартфон OPPO Reno10 Pro 12/256GB Silvery Grey","16a56fe251df6d1e6c99ab6bcd514129","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno10-pro-12256gb-silvery-grey/","рекомендує цей товар","Сучасний дизайн та зручна ергономіка, яскравий AMOLED-екран 120 Гц, непоганий акумулятор та швидка зарядка 80 Вт; є підтримка сучасних модулів та технологій, потужний, для середнього сегмента, процесор","Висока ціна, немає стереозвучання, немає слота для картки пам’яті microSD, немає в комплекті фірмового чохла","кілька днів","OPPO Reno 10 Pro вийшов гарним сучасним апаратом середньої категорії з непоганою камерою, яскравим та якісним AMOLED-екраном 120 Гц, зі швидкою зарядкою на 80 Вт та з нормальним акумулятором, якого точно вистачить на день повноцінного користування. Смартфон стильно виглядає, в нього швидка система та блискавичний сканер відбитків пальців в екрані. Проте із таким цінником апарат має посереднє співвідношення ціна/можливості, а з цим й дуже багато конкурентів. Одні можуть те саме, але коштують дешевше, інші коштують стільки ж, але можуть більше. Також за ці гроші OPPO Reno 10 Pro немає стереозвучання, хоч основний динамік гучний та отримав напрочуд деталізоване звучання. Але за такі гроші їх все ж повинно бути два, але в цілому можу рекомендувати"
"Смартфон OPPO A77 4/64GB Midnight Black","8e042fda8f5e34b4c3f7fb73165be0a0","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a77-464gb-midnight-black/","рекомендує цей товар","Быстрый, современный, надёжный, отличное качество, внешний вид","Нет","кілька годин","Мне понравился внешний вид, он современный, стильный, сам по себе телефон надёжный и работает без глюков, довольно таки шустрый, снимки делает отличного качества, батарея держит норм, рекомендую"
"Смартфон OPPO Reno8 T 8/128GB Black Starlight","a247b3d584011f102a8ce65bacaceb1b","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno8-t-8128gb-black-starlight/","рекомендує цей товар","Быстрый, яркий экран, камера отлично снимает, отличный дизайн","Нет","кілька місяців","Сам по себе дизайн понравился, круто и солидно смотрится, яркий экран, камера хорошо и качественно делает снимки, рекомендую"
"Смартфон OPPO A74 6/128GB Prism Black","bc3f62bd58ea8283aab816e46b6a8c3f","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a74-6128gb-prism-black/","не рекомендує цей товар","нічо","все. абсолютно все що вилазить з часом користування, а не за годину","рік і більше","Описать что не понравилось без использования матов - сложно
Операционку за год обновлял раз 5 уже. 
1. Уведомление об обновлениях появляются прям насильно всегда спереди чуть ли не каждый день и постоянно бесят и насильно принуждают чтоб обновился.
2. с каждым обновлением все хуже и хуже. Эта конченая КолорОС со своими приколами и требованиями к приложениям. То она сама по себе их лочит. То выдает от приложений какието запросы и требования. То еще чтото. 
А самое главное, гасит и не дает работать приложениям когда захочет и как захочет. Из-за того что вовремя не приходят уведомления когда надо, потому что операционка сама решает какие допускать а какие нет - я потерял уже больше 1000$. И ненадо рассказывать о правах приложений или что там еще. Выдано все что может только выдаватся в права. Даже включен высмокий жор батареи чтобы не подавлялась работа приложений - всеравно операционка решает сама что делать
3. страшно тормозит. Порой виснет. обновления не решают проблему.
4. жрет неадекватно. Якобы процессор экономный, и батарея 5000мАн, но вот прикол самс старый с батарее 4500 работает на сутки дольше ). При одинаковом то использовании. А еще самсу за ночь теряет 3% этот же 7%. При том что на этом наночь выключается вообще все и останавливаются все приложения.. Но кудато девается заряд :)
5. сенсор отпечатков пальца. хуже не встречал
6. режим заряда батареи ведет себя как китайцы придумали. до 80% заряжается за 1час. Хотя я в настройках выбрал ночной экономичный заряд. Ему всеравно. насилует батарею час. А потом 6 часов заряжает те 20%. Выключаю экономным заряд. всеравно до 80 за час. Правда и те 20 оставшихся также за 20мин. Это экономичный?? До 80% за час, батарея горячая ппц.

 и многое другое по мелочи.
В общем. всю жизнь еще с нокии 1120 пользуюсь брендовыми, тут решил взять китайца. Чтоб я так жил. Такое гэ!
Никогда не покупайте китайское увно. ПРОСТО никогда."
"Смартфон OPPO A96 6/128GB Starry Black","7eaea2864708d9c994ba401203d22b59","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a96-6128gb-starry-black/","рекомендує цей товар","Швидкість,матеріали корпусу,екран,час роботи а також зручність у використанні","Якість камери на 4 з 5","кілька місяців","Телефон за свою ціну має якісні матеріали і хорошу продуктивність, хороший варіант для роботи,для навчання,для серфінгу,для ігор теж піде"
"Смартфон OPPO A96 6/128GB Starry Black","7eaea2864708d9c994ba401203d22b59","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a96-6128gb-starry-black/","рекомендує цей товар","120 гб швидкої пам'яті UFS 2.2 , 6 гб LPDDR4x озу (є на 8 гб, на тисячу гривень дорожче) гучні стерео динаміки, швидка зарядка в комплекті, хороший IPS екран, АКБ 5000, сім лоток (сім+сім+флеш) Швидкий процесор від Qualcomm Snapdragon (е можливість встановити Гугл камеру","Поки не виявлено","кілька тижнів","За такі гроші хороший телефон!"
"Смартфон OPPO Reno 4 Pro 12/256GB Galactic Blue","65c7e5b20ce40c1fea9427557b4603d3","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno-4-pro-12256gb-galactic-blue/","рекомендує цей товар","Єкран. камера4К, Чудовий дізайн. Єнергозберігаючі технологіі та швидкість заряджання","Відносно висока ціна","рік і більше","Аппарат шикарний, але недешевий. Знімає чудові відео в 4К робить чудві фото."
"Смартфон OPPO Find X5 Pro 12/256GB Glaze Black","c650a211352f6ef6e339899e26bfbe90","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-find-x5-pro-12256gb-glaze-black/","рекомендує цей товар","Смартфон выполнен по последнему слову инженерии. Шустрый, подводный, лёгкий. Лучшая фото камера, подтверждено тестами, снимает фото лучше самсунга и айфона. Баланс белого эталонный. Видео в, айфоне пишет лучше. Но я, фотограф и это хорошая компактная замена Sony alpha 6500","Проц очень мощный и поэтому батарея быстро тает, очень скользкий, оболочка хоть и навороченая но на мой вкус так себе","кілька місяців","Доволен на все сто. Не жалею и очень рекомендую. Особенно фотографам. Вся красота снимка открывается на компе."
"Смартфон OPPO Reno5 Lite 8/128GB Fantastic Purple","299bc4f1c29d6755458cee1fe37e933d","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno5-lite-8128gb-fantastic-purple/","рекомендує цей товар","Дуже гарний смартфон за свої гроші","Теща не скаржилася","кілька місяців","Купував тещі. Телефон нормально працює, нормально фотографує (на свої гроші звичайно). Дуже непогано тримає акумулятор."
"Смартфон OPPO A55 4/64GB Starry Black","52bb218282f82b83e0372285bfaeb7a6","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-a55-464gb-starry-black/","рекомендує цей товар","Цена. Комплектация","за такие деньги - всё идеально","кілька місяців","Отличный телефон, за свою цену. Даже не знаю к чему придраться."
"Смартфон OPPO Reno5 Lite 8/128GB Fluid Black","5015a843df7030d96e2e444181441452","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-reno5-lite-8128gb-fluid-black/","рекомендує цей товар","Дизайн дуже класний,добре тримає батарея,камера також на рівні,основне він дуже швидкий в роботі,плюс що можна збільшити пам'ять оперативне, розширити.Швидка зарядка також плюс.Недоліків немає","Все сподобалось","кілька місяців","Вартує тих грошей однозначно"
"Смартфон OPPO Find X3 Lite 8/128GB Starry Black","39e1de80eeb53b63d3f9f46e13197614","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/oppo-find-x3-lite-8128gb-starry-black/","рекомендує цей товар","Швидкість .Екран.Швидка зарядка.ColorOS.Навушники у комплекті","Моно динамік","кілька годин",""
