"name","ID","link","recommend","liked","disliked","experience","comment"
"Смартфон Meizu X8 6/128GB Blue","62186d2bd4f9375a0c25cb0b7a641174","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-x8-6128gb-blue/","рекомендує цей товар","4 роки працює без нарікань. Жодних глюків. Скло ціле - плівку не клеїв","Нема НФС. Акк треба підзаряжати при можливості","рік і більше","Meizu достойная марка похоже. Я полностью доволен Meizu X8 6/128GB"
"Смартфон Meizu M10 3/32GB Black","17858b5146053c5ff4142883517338dd","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m10-332gb-black/","рекомендує цей товар","відома китайська фірма.- непоганий дизайн.- працює на Андроїді 9.- ціна соціальна.- стильний зовнішній вигляд.- екран яскравий та якісний.- ємність АКБ","камера слабенька.- іноді не достатньо оперативної пам'яті","кілька годин","Телефон непоганий, робить одна з відомих (хоча і не кращих) китайський фірм. Иелевґіон сучасний, красивий дизайн, екран яскравий та має живі кольори,працює досить швидко, хоча озу іноді не хватає. Батарея тримає десь дент- півтора, цього достатньо при активному користуванні. Камера слабенька, лише удень непогані фото."
"Смартфон Meizu M6T 2/16GB Red","708c6e7662f5f121c765657bbf55c285","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m6t-216gb-red/","рекомендує цей товар","На 2 симки, дешёвый, большой экран, заряд батареи","Бывает глючит","рік і більше","Хорошая бюджетная звонилка на 2 сим карты"
"Смартфон Meizu M6 Note 3/16GB Black","d19faebfe5cb6305e55eaad8fcf23261","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m6-note-316gb-black/","рекомендує цей товар","Качество материалов и сборки.*Металлический корпус.*Оболочка Flyme","","рік і більше","В пользовании более двух лет. Хороший металлический корпус и сборка устройства. Отличная быстрая зарядка, заряжает устройство с 0 до 100 процентов за примерно полтора часа. Удобная оболочка Flyme и управление одной механическо-сенсорной кнопкой. Хорошо держит батарея и не плохая камера. 3Гб оперативной памяти достаточно для серфинга в интернете и среднестатистической работы. Отличное соотношение цена-качество устройства."
"Смартфон Meizu M2 (Gray)","bc3a9aa52a90086f8f8281891c4b7a92","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m2-mini-gray/","не рекомендує цей товар","Компактность, красивый дизайн, небольшая цена","Проблемы с экраном, высокий нагрев в ресурсоемких приложениях, пластиковый корпус, глючная оболочка Flyme OS","рік і більше","Покупал жене - основные критерии были компактные размеры, но с экраном не менее 5 дюймов и красивый дизайн. Начинка была вторична и с учётом достаточно демократичной цены решил взять этот телефон. На момент покупки в принципе производительности телефона хватало для любых задач, сейчас конечно в 2021г ощущается как дикий тормоз. Камера на удивление очень даже не плохая - может поспорить даже с бюджетниками в 2021г. Экран с матрицей IPS неплохой, хоть и не FullHD. Но со временем вылезла небольшая проблемка появились полосы на экране причем они проявляются не везде (на видео видно). Методом тыка выявил, что изменяя цветовую температуру дисплея от них можно избавиться, т.е. скорее всего это не аппаратная проблема, а программная. Система Flyme OS визуально мне нравится, но глюки в т.ч. с экраном на ней конечно не радуют. После жены данным телефоном пользовался ребенок - спокойно выдержал не очень бережную эксплуатацию, неоднократно его роняли и корпусом и экраном вниз (использовался без стекла и пленки) экран целый, а на корпусе минимальные повреждения (царапины). В общем если бы не моральное устаревание платформы, можно было бы рекомендовать данный телефон в 2021г."
"Смартфон Meizu Note 9 4/64GB Black","9a5824269010dbe25c072efdb68321c2","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-note-9-464gb-black/","рекомендує цей товар","дизайн.дисплей норм как для своей цены.скорость работы","оболочка нужно привыкнуть","кілька тижнів","в целом неплохой бюджетник с неплохим дисплеем, шустрый, аккумулятор на день хватает, все открывается шустро как для такой цены, дисплей красочный и неплохой по качеству, в целом твердая 4"
"Смартфон Meizu M3 Max 64GB (Silver)","4f4407b4e3f05ddaf885acaedd58de8e","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m3-max-64gb-silver/","рекомендує цей товар","хорошо смотрится, небольшой, удобно лежит в руке","иногда мог подвиснуть на какой-то игре, можно было бы лучше автономность","кілька тижнів","в общем и целом, хороший аппарат. мне понравилась цена и качество"
"Смартфон Meizu Note 9 4/64GB Black","9a5824269010dbe25c072efdb68321c2","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-note-9-464gb-black/","не рекомендує цей товар","Сподобалось би може, все, якби телефон працював","При використанні в перший же день виникла проблема- не підтримує зв'язок в метрополітені. Вхідний дзвінок- ні тебе не чують, ні ти. При вихідному іноді не з'єднує, іноді після початку розмови, через 10-30 сек. така ж тиша, як при вхідному, але з'єднання не розривається навіть при відбитті. І таке тільки в метро, або близько до нього. Складається враження, що апарат не підтримує якусь частоту саме в метро, бо на поверхні все гаразд. Звернення до київстар та мтс не допомогло; кажуть, що проблеми з апаратом, більш того, саме у цього виробника, ксіомі та деяких інших. Апарат офіційний","кілька тижнів","Висновки: 
-Не купляйте апарат виробника, що котиться до кінця свого циклу;
-Не заморочуйтесь поклейкою захисту/покупкою чохлів-бамперів! Пам'ятайте, що 14 днів, коли Ви можете повернути ""..."" назад, спливають, і потрачені кошти підуть коту під хвіст;
-Користуйте весь цей час апарат на ПОВНУ, ну і якщо десь його пошкодите, то це вже так судилося. Зате не матимете гемору з напівцеглиною."
"Смартфон Meizu M3 Note 16GB (Gray)","ef3263f51161d4878229332cda8fe59f","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m3-note-16gb-gray/","не рекомендує цей товар","Металлический корпус.норм камера.хороший дисплей","батарея со временем быстро дохнет","рік і більше","В свое время мой любимый телефон, камера ок, есть крутой ручной режим с широкими настройками"
"Смартфон Meizu M6 2/16GB Black","4682177e10b02f2515f62a6fdb7a0d90","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m6-216gb-black/","рекомендує цей товар","Яркий экран.+ Защита для глаз.+ Шустрая работа.+ Не глючил.+ Долго держит заряд.+ Камера не фонтан, но для бабушкиных снимков подходит","Иногда кажется что тач не быстро отзывается","рік і більше","Покупали бабушке для фотографирования + просмотра залитых через вайбер фотографий /видео.

Со своей функцией спраляется на отлично уже третий год. С симкой не используется, в основном для просмотра фото+ видео пару часов в день. При такой работе держит заряд 4-5 дней (может больше, бабушка не следит за днями зарядки).

Хороший яркий и сочный экран, недавно настраивал разные программы на нем - подлагов и микрофризов не замечено, единственное - иногда кажется что тач регирует с задержкой, хотя может это плавность в настройках выставлена, не компался.

Телефон покупался за 2300 и до сих пор радует нас своим качеством и работой. Хотя в нынешних реалиях нужно брать уже минимум с 32 гиг памяти."
"Смартфон Meizu M6 3/32GB Black","8cc69cb9a82ea335dca4819342a73cc5","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-m6-332gb-black/","рекомендує цей товар","Очень удобный, так как в домашнем пользовании 2 года, он падал, но цел) хороший бюджетный смартфон) Особого глюка нет","Батарея в активном пользовании держит меньше дня, после последнего обновления нет возможности зайти в настройки","кілька годин","Довольна"
"Смартфон Meizu 16Xs 6/128GB Pearl White","66f82f0db64279440906546df835c8b1","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-16xs-6128gb-pearl-white/","рекомендує цей товар","Дизайн, камера, екран","Оновлення системи","кілька годин",""
"Смартфон Meizu 16Xs 6/128GB Pearl White","66f82f0db64279440906546df835c8b1","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-16xs-6128gb-pearl-white/","рекомендує цей товар","великий екран","ціна трохи кусається","кілька тижнів","Придбав цей чудовий телефон в кінці листопада. З переваг реально дуже красивий великий екран, без вирізу екран, на мій погляд набагато красивіше. Управління меню трохи незвичне, тому що кнопки назад немає, відповідно для повернення назад потрібно використовувати тач скрін з краю екрану. Досить оригінальне і сучасне рішення, мені воно сподобалося. Камера відмінна, за ці гроші в смартах камери простіше стоять на скільки я знаю Ну і потужний швидкий процесор, якого більш ніж достатньо для роботи з додатками і гри тягне все, що в принципі мені не особливо цікаві."
"Смартфон Meizu C9 2/16GB Black","8035d6cf327cdef28fb4a0d93c3d8a9a","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-c9-216gb-black/","не рекомендує цей товар","Цена","Глюки","кілька місяців","Покупался данный аппарат для девушки, искал хороший бюджет, но оказался не очень то и хороший бюджет, первая проблема это не найти на него защитки и чехлов их просто нет, пришлось заказывать на АлиЭкспрессе, далее появился проблема самопроизвольной перезагрузки не понятно по каким причинам, смотришь Ютуб и перезагрузка, редко но бесит, далее не работает адекватно точка доступа, все смартфоны не могут подключиться к этому устройству сразу идёт отключения после подключения, долгие танцы с бубном и ноль реакции, короче смартфон так себе, лучше доплатить и взять что то из топовых брендов."
"Смартфон Meizu C9 2/16GB Black","8035d6cf327cdef28fb4a0d93c3d8a9a","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/meizu-c9-216gb-black/","рекомендує цей товар","Не очень большой по сравнения с некоторыми моделями, в руке еще более-менее комфортно держать при звонке","сложно найти защитное стекло и чехол","кілька годин","Искала недорогую модель в подарок маме. Это ее первый смартфон, должно быть все понятно, при этом громки и яркий экран. Удачно попала на акцию на розетке. Модель хорошая, экран довольно яркий, все видно четко. камера тоже нормальная как за такие деньги. особых тормозов в работе нет, так как из сторонних приложений стоит только вайбер и фейсбук. поэтому качеством работы довольны."
