"name","ID","link","recommend","liked","disliked","experience","comment"
"Мобільний телефон Bravis F241 Blade Dual Sim (Black)","1212a2fb0a87b1955d5a44fcadcde3f5","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-f241-blade-dual-sim-black/","не рекомендує цей товар","большой экран, цена, простой, крепкий, хорошо читаемая клавиатура","тугая задняя крышка, .нет т9, неудобное меню, прослужил не долго - около 1 года","рік і більше","Неплохой телефон за небольшие деньги - функционалом я доволен. Покупал для ребенка - не жалко если потеряет или поломает. Камера там конечно лишняя. А так очень громкий телефон, даже в портфеле его очень хорошо слышно. Микрофон, динамик и связь - хорошие. Рингтоны и картинки докидываются на SD карту и настраиваете ТФ под себя. Как результат - не слышите стандартных противных мелодий. МР3 плеером тоже доволен - вот это полезная опция. Флешку надо форматировать в FAT 32 (ранее установленные в другие телефоны не воспринимает). Открыть заднюю крышку и при этом не испортить телефон очень сложно - тугие защелки, всегда есть риск сломать."
"Мобільний телефон Bravis C246 Fruit Dual Sim Yellow","76084865a3fe8bad31b0a4f139d2bd99","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-c246-fruit-dual-sim-yellow/","не рекомендує цей товар","Положительные качества соответствуют цене в 350 грн*.Дизайн, сборка, тактильные кнопки( мягкие, резиновые) мп3-плеер хороший( даже эквалайзер есть рабочий),В наушниках плеер/радио играет тоже отлично.Можно выставить на каждый контакт свое фото и мелодию с флешки. Мелодия вызова/смс тоже с флешки своя ставится. Динамик вызова отличный, даже музыку можно слушать( не совсем убогий).Блютуз только для передачи данных!Удобный в кармане/ в руке/при разговоре","1.Разговорный динамик-это ужас.Вернее его отсутствие!!! Один внешний динамик на вызов и разговор. ну как так??? При том ,что сам динамик далеко от уха , за экраном.Звук как из бочки при разговоре. Громкость разговора на максимуме +15 и ужасно. Посмотрите где ухо а где решетка наружного динамика. 2.БЛютуз гарнитура работает, но с посторонним треском и шумом. Музыку слушать не годится. Как в разговоре не знаю.Но при паузе на плеере шум и треск в ушах не пропадает","кілька днів","НАличие интернета в нем смешно ...уберите из софта его. Добавьте нормальный разговорный динамик и подправьте/уберите блютуз (трески и шумы).
Учитывая пожелания в коментарии стоимость за такой телефон ,понимаю, была бы выше. Модель хороша, качество понравилось. Отличный продукт был бы...но Карл...в телефоне отсутсвие разговорного динамика- просто ужас. Проверить в магазине качество звонка не было возможности, так бы не взял его. Через этот... динамик. Bravis -ты можешь лучше."
"Смартфон Bravis A509 Jeans Dual Sim Black","567e3875122f8645e25bfc9faaefd35c","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-a509-jeans-dual-sim-black/","не рекомендує цей товар","Ціна,якщо треба терміново телефон то ціна дозволяє отримати ,але це тимчасове рішення","Дуже бюджетний тому оцінку даю субєктивно..Збірка неякісна,всі функції дуже умовні","кілька тижнів","Всі функції як в дорожчих моделях відомих брендів,але реалізовані умовно,все працює,але на низьких так сказати оборотах,камера знімає,якість відповідна ціні,екран теж хоч і HD по якості зображення,куту огляду,і реакції сенсора якість далека від середньої.
Як тимчасовий варіант.Або якщо просто нема грошей на дорожчий,а телефон мати хочеться."
"Мобільний телефон Bravis C183 Rife Dual","025a176a2126cde70b3770e0347dad49","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-c183-rife-dual/","не рекомендує цей товар","Не скажу що зовсім поганий,він телефонує,ну трохи,не стабільно","Таке відчуття що телефон виготовлено з відходів,така неякісна збірка і матеріали","кілька місяців","Брався як телефон для дзвінків на роботі,щоб не шкода розбити.Попрацював кілька місяців.
потім почала глючити сімка то бачить то ні,сам вимикається,сильно тормозить,а пластик крихкий.
Батарейка ніяка на кілька годин
В результаті викинули в смітник"
"Мобільний телефон Bravis C246 Fruit Dual Sim Yellow","76084865a3fe8bad31b0a4f139d2bd99","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-c246-fruit-dual-sim-yellow/","не рекомендує цей товар","гнутый корпус","некачественный гнутый корпус, отвратительный разговорный динамик","кілька днів",""
"Мобільний телефон Bravis C246 Fruit Dual Sim Yellow","76084865a3fe8bad31b0a4f139d2bd99","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-c246-fruit-dual-sim-yellow/","рекомендує цей товар","1.Дизайн-прикольно выглядит, яркий..2.Шустренький-ни разу не подвисал","1.Камера-лучше без камеры чем с такой","кілька тижнів","Хорошая звонилка, для работы."
"Смартфон Bravis X500 Trace Pro Dual Sim Dark Grey","eb90ba75ad483be76e535b03c11cfae5","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-x500-trace-pro-dual-sim-dark-grey/","не рекомендує цей товар","Нічого","Все","кілька місяців","Після місяця використання зломався мікрофон, потім і матриця полетіла. Телефон виключався сам по собі. Викинуті на вітер гроші"
"Мобільний телефон Bravis C241 Brace Dual Sim Black","2b0fdbb403ea40fbf759a8e8012b9026","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-c241-brace-dual-sim-black/","не рекомендує цей товар","Ціна","Мало що сподобалось","кілька місяців","Через місяць експлуатації накрився динамік"
"Мобільний телефон Bravis Senior","8aa674f7f24a1622192864dde7800ad8","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-senior/","не рекомендує цей товар","Покупали этот телефон полтора года назад для бабушки, ей 78 лет. Она видит уже не очень потому нужен был с большими кнопками. Телефон вернули через 5 дней. Из плюсов цена и большие кнопки, потому дизайн благодаря большим кнопка оцениваю в 4, ну и скорость работы - он не виснит. т.к. без операционки","Звук очень тихий даже для молодых. для пожилого человека совсем беда. Не слышно ничего, а звук, видимо, не регулируется. В настройках не нашли. Звук мало того что тихо, так еще и репит постоянно. искажает голос.Экран имеет плохое очень качество изображения, пожилому человеку сложно будет что-то рассмотреть","кілька днів","Камеру оценить не могу по причине отсутствия."
"Мобільний телефон Bravis C241 Brace Dual Sim Black","2b0fdbb403ea40fbf759a8e8012b9026","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/bravis-c241-brace-dual-sim-black/","не рекомендує цей товар","За эти деньги звонит и ладно","Нет кнопки выключения.Включается сам в кармане сумке и тд","кілька місяців",""
