"name","ID","link","recommend","liked","disliked","experience","comment"
"Планшет Xiaomi Redmi Pad SE 8/256GB Mint Green (VHU4588EU)","18b6918116c99e9968e6b75caffd9888","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-8256gb-mint-green/","рекомендує цей товар","Отличный экран и звук. Долби атмос. Мощный аккумулятор","Немає","кілька днів",""
"Планшет Xiaomi Redmi Pad SE 8.7 4/64GB Wi-Fi Graphite Gray (VHU5098EU)","912c779124fbd309cf891fccab93584c","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-87-464gb-wi-fi-graphite-gray-vhu5098eu/","рекомендує цей товар","Ціна;.- Якісний екран;.- Ємність батареї;.- Розмір та вага","Досить повільний","кілька тижнів","Загалом цілком достойний планшет за свою ціну. Якісний екран з частотою до 90Hz. Як на мене планшет трохи повільний навіть в повсякденних задачах, хоча процессор наче непоганий. Можливо OS вибаглива до оперативної пам'яті, тож раджу розглянути варіант на 6Gb. 
Найбільше підлагування помітне відразу після розблокування, через деякий час наче стає трохи краще, але це суб'єктивно.
Зважаючи на ціну - достойний планшет з приємним екраном та хорошою батареєю. Дуже зручний для читання книг за рахунок невеликого розміру і ваги."
"Планшет Xiaomi Redmi Pad SE 8.7 4/64GB LTE Graphite Gray (VHU5027EU)","37607eabec3da346c74f62150cbc9a17","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-87-464gb-lte-graphite-gray-vhu5027eu/","рекомендує цей товар","Вартість, тонкий, компактний розмір завдяки діагоналі 8,7 дюймів, вага до 400 граммів","Слабкий процессор вистачить на декілька років, не більше. Звук теж зірок з неба не хватає, роздільна здатність не підійде для перегляду якісного контента","кілька місяців","За таку вартість конкурентів у цієї моделі дуже мало. Ще і в формфакторі 8,7"". Тож кому потрбібен недорогий планшет на декілька років, та ви не є прихильником екосистем єпл чи гелексі - раджу до придбання."
"Планшет Xiaomi Redmi Pad SE 8/256GB Graphite Gray (VHU4587EU, VHU5355EU)","003d1806223f91cbed027cc19621bf6c","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-8256gb-graphite-gray/","рекомендує цей товар","відома фірма.+ Сучаснтй дизайн.+ Доволі якісно підібрані комплектуючі .+ Хороший екран.+ АКБ тримає довгий час.+ Звук","Критичних мінусів не виявлено","кілька годин","Камера така собі по якості. Але вона особо і не потрібна для праншету. Брався для дитини, тож все тягне що треба. Залізо добре підібрано для того, щоб розкривалися всі ресурси. Екран хороший, якісний, немає втомлювання очей. Якісний корпус,на дотик приємний. Йде в коробці, коробка запакована в плівку."
"Планшет  Xiaomi Redmi Pad Pro 8/256GB Graphite Gray (VHU4750EU)","5e36409e4882474cdecbd989f91a2eb0","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-pro-8256gb-graphite-gray-vhu4750eu/","рекомендує цей товар","Якісне зображення,чіткий звук,гарна батарея","Всім задоволена","кілька годин","Задоволена параметрами планшета,ціна-якість."
"Планшет Xiaomi Redmi Pad SE 6/128GB Graphite Gray","a2d6e9b99b39e118a8ba1fe9df8a600c","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-6128gb-graphite-gray/","рекомендує цей товар","Якість збірки, дисплей, звук, автономність, комплектація","Підтримка ос","рік і більше","Планшет майже замінив ноутбук в питаннях споживанні контента. Подивитись ютубчик, фільми, пограти перед сном.
Ігри тягне але не на максимальних налаштуваннях. Звук досить непоганий як для бюджетного варіанта. 
Екран приємний - не кислотний. 
Із приємного - повноцінний комплект з швидкою зарядкою і юзб дротом.
Взагалі планшет відмінно працював рівно до того моменту як оновив на хайпер ос. В жодному разі не робіть цього! Відкатити пристрій неможливо навіть в офіційному сервісі. Після оновлення почали закриватись додатки. Планшет почав підтуплювати. З'явився жор батарейки.
Рекомендувати можу, якщо не будете оновлюватись."
"Планшет Xiaomi Redmi Pad SE 6/128GB Mint Green","2994d647d453c01fcc8e429ecaa2b4d9","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-6128gb-mint-green/","рекомендує цей товар","Екран, автономність, налаштування, матеріали корпусу","Камера","кілька місяців","Купував на подарунок мамі. Після появи планшета ноутбуком взагалі перестала користуватись. Екран якісний, підтримує режим 90 герц. Кольори приємні.
Звук непоганий, динаміки не хриплять.
Корпус металевий, дуже приємний на дотик.
Багато налаштувань і є можливість кастомізувати під себе. Все працює стабільно і не зависає. Нормальна комплектація з зарядкою і юзб дротом."
"Планшет Xiaomi Redmi Pad SE 6/128GB Mint Green","2994d647d453c01fcc8e429ecaa2b4d9","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-6128gb-mint-green/","рекомендує цей товар","відома фірма.+ Якісно зроблено .+ Екран великий, не блимає.+ Час роботи великий.+ Швидкість роботи.+ Пакування хороше","Критичних мінусів не виявлено","кілька годин","З невеликих недоліків це камера. Вона практично відсутня,але планшет береться не для селфі. вона є - і добре. Все інше- це на висоті. Корпус з металу,брати в руки дуже приємно. Екран великий та яскравий, є 90 Гц налаштування. Не мерехтить, що дає змогу довго працювати. З радіо вай файл, тобто інет мобільний відсутній. Гарна річ для навчання для дитини. Пакування гарне, в наборі проста зарядка та кабель."
"Планшет Xiaomi Pad 6 8/256GB Gravity Gray (VHU4318EU)","2fe5a5add1e5a44cdfea4ea0c3a62212","https://hotline.ua/ua/computer-planshety/xiaomi-pad-6-8256gb-black/","рекомендує цей товар","Доволі зручний і зрозумілий в користуванні, екран яскравий, зображення зітке, не підвисає, від батареї тримає довгенько, камера норм, для навчання в зумі те що потрібно","не знайшов","кілька місяців","Сподобався дизайн планшету, доволі сучасний, сам екран яскравий, зображення гуд, все працює, не зависає, від батереї хватає норм заряду, при цьому камер робить норм фотографії, а саме головне, те що дитині подобається проводити навчання в зумі на ньому"
"Планшет Xiaomi Redmi Pad SE 6/128GB Graphite Gray","a2d6e9b99b39e118a8ba1fe9df8a600c","https://hotline.ua/ua/computer-planshety/xiaomi-redmi-pad-se-6128gb-graphite-gray/","рекомендує цей товар","відома фірма.+ За свої кошти конкурентів немає.+ Металевий корпус.+ Ну дуже шикарна автономність.+ Екран береже очі (гарна якість).+ Відмінно підходить для навчання .+ Досить шустрий","Критичних мінусів не виявлено","кілька днів","Взагалі брався для дитини саме для навчання. Фірма відома, модель одна з кращих по ціні- якості. Брали з Європи, тож чекали десь тиждень. Вийшло на порядок дешевше. Планшет шустрий, відразу обновили, заряду було 58%. Корпус метал, екран яскравий та має 90 Гц, для очей і для довгої роботи нормально підходить. Є лише вай фай інет, але і 2.4 і 5Гц, тобто можна завжди зі смартфону розшарити і підключатися планшетом, це не проблема. Камера дуже посередня, її практично немає. якщо гарне освітлення - то норм. 4 динаміки це насправді круто. 

В наборі проста зарядка, але планшет підтримує швидку зарядку (взяли зі смартфону). 

Взагалі враження позитивні. 
Прийшло в коробці з заводською плівкою."
