"name","ID","link","recommend","liked","disliked","experience","comment"
"Смартфон Google Pixel 6 8/128GB Stormy Black","1ad6270ba1522d70aa03482e49b9fdf1","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-6-8128gb-stormy-black/","рекомендує цей товар","Камера .Чистий андроїд.дизайн.підтримка оновлень","Погана автономність.нагрів корпусу","кілька місяців","Кому потрібен смартфон з класною камерою, навіть по міркам 2025, по ціні сірого покофона то це ваш вибір. Тут і плюс і мінус, що пікселі швидко втрачають в ціні, в порівнянні з айфонами, і є можливість купити флагман минулих років за нормальні гроші. головне не веріть софт анлок, якщо не хочете парити голову потім. За 11-13 тисяч топ, рекомендасьйон."
"Смартфон Google Pixel 9 Pro 16/256GB Obsidian","fa0f37041c61634d43d2c62df75fb7b5","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-9-pro-16256gb-obsidian/","рекомендує цей товар","дизайн .- Гармонія з гугл сервісами.- камера гарна.- батарея добре тримає","Поки мінусів не побачила","кілька тижнів","Робила вибір між 15 про і цією моделлю - вирішила що батарея і сервіси Гугл мені важливіші)) + ціна)"
"Смартфон Google Pixel 9 Pro 16/128GB Hazel","ddaa25582b126794bba2f79a649ebafa","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-9-pro-16128gb-hazel/","рекомендує цей товар","Повнітью зал=доволений телефоном, малий обєм загалом не проблема коли користуєшся гугл фото і гугл диском. Всі відгуки про слабкий процецор повна дурниця при звичайному повсякденному користуванні","","кілька місяців",""
"Смартфон Google Pixel 6 Pro 12/128GB Stormy Black","cc74ee8f6d0e1dd8c0568cac2627bd8b","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-6-pro-12128gb-stormy-black/","рекомендує цей товар","Производитель, камера, шустро работает, внешний вид, дизайн","мощность зарядки","кілька тижнів","Классный смартфон от Google Pixel 6 Pro. Купил его чисто из-за камеры, очень нравится как получаются снимки и видео записывает неплохо, особенно после redmi note 9pro. Корпус телефона из нержавеющей стали и стекла. В руках скользкий смартфон, поэтому нужен чехол. Оперативной памяти 12гб, встроенной 128Гб. Процессор используется Tensor. Ночные снимки делает хорошо,видео уже похуже выходит."
"Смартфон Google Pixel 9 Pro 16/256GB Hazel","974123e131b6a93696f7ae4927936760","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-9-pro-16256gb-hazel/","рекомендує цей товар","Все. Це гарний апгрейд з Pixel 2XL","Немає функції ""мут вхідного дзвінка, коли з боків стискаєш телефон"". Тепер це реалізовано за допомогою кнопок гучності","кілька місяців","Чудовий девайс! Помітно важче 2-ї моделі. Колір ближчий до сірого.
З досвіду користування: при вхідному дзвінку (GSM) через деякий час різко покращується чутність співрозмовника. Прямо стрибком! Можливо, це й є ""Clear Calling"".
Окремо придбав оригінальну зарядку, саме EU версію. Чохол спершу хотів як і минулий – від Spigen. Але все ж таки вибрав Mous. Вразився їхньою презентацією на вулицях Лондона)"
"Смартфон Google Pixel 8a 8/128GB Bay","ac1d41b3402dd2323c7f169ee426d69c","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-8a-8128gb-bay/","рекомендує цей товар","Google оболочка Pixel.беспроводная зарядка","батарею можно было и мощнее","кілька місяців","Долго сомневался, но в итоге доволен.
Качество экрана, звук, регулярные обновления.
внешний вид тоже на уровне.
камеры щелкают хорошо, но я не гурман по этому вопросу.
Пока руки перепрошить что-то другое не чешутся, до этого были сони. сяоми и др, очень быстро появлялось желание прошить альтернативную прошивку.

Экран немного мелковат, но 8 или 8 pro  слишком дорого, но еще кажется мельче из-за соотношения сторон. на Xiaomi A3 экран был чуть шире."
"Смартфон Google Pixel 9 12/128GB Obsidian","503172ce5895744ca5d649bb52776d90","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-9-12128gb-obsidian/","рекомендує цей товар","Камера, дизайн і відносна плавність","Обмеження Pixel launcher","кілька місяців",""
"Смартфон Google Pixel 4 6/64GB Just Black","613ac8a7676f150b6806111c88ff13b9","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-4-64gb-just-black/","рекомендує цей товар","Гарний екран,.Якісні фотографії.Компактний,зручний..Швидкий, чиста OC","Час роботи, погана батарея","рік і більше",""
"Смартфон Google Pixel 8 Pro 12/256GB Porcelain","78d1117ad4e5e9dbff8e0776237d98c7","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-8-pro-12256gb-porcelain/","рекомендує цей товар","выглядит отлично, работает быстро, 120гц, есть подобие АИ, ну и фото конечно же","батарея, отпучаток, стоит дороговастенько","рік і більше","Делает отличные фотографии моментально, я бы сказал, с первого раза. Очень хорошо себя показывает в многозадачности: когда надо быстро переключаться между разными приложениями. Иногда можно голосом задать вопрос местному АИ, который не плохо справляется - это конечно, не чатГПТ, но все же что-то он умеет, включая управление умным домом. Основной проблемой остается: батарея, где почему-то даже старый айфон 11 держит дольше и не особо помогает, что вы снизите 120гц до 60гц. Также почему-то плохо работает подэкранный отпечаток пальца - 2-3 раза надо палец переставлять, бесит немного это. Если бы не батарея и отпечаток, то цены бы не было этому смартфону. С правильно подобранным чехлом на столе будет вас выгодно отличать вас от остальных ;)"
"Смартфон Google Pixel 8 8/128GB Obsidian","c198418e35440efa905c24fa15b1e6f8","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/google-pixel-8-8128gb-obsidian/","рекомендує цей товар","Швидкий, адекватна тривалість роботи, легко конфігурується багато речей. Запланована підтримка на 7 років","Не працює команда виклик асистента Ok Google - з чим це пов'язано не знаю, я вже пів інтернету перелопатив, а мені й далі тупо пише в налаштуваннях ""Функція недоступна на вашому пристрої"" - в мене Google Pixel АЛЬО..По камері може і не об'єктивно, але мені здається в яблуках вона працює все одно краще (в мене не було iPhone, погляд зі сторони).Ну і загалом є нюанси з деякими аплікаціями але це проблема Android екосистеми як такої, а не конкретно цього телефона","кілька місяців","Якщо ви андроід юзер то піксель найкращий варіант на мою думку, ну хіба ви вже ""по вуха"" в екосистемі самсунг, то діватись нема куди))"
