"name","ID","link","recommend","liked","disliked","experience","comment"
"Мобільний телефон 2E E240 2023 Black (688130251068)","202ad3b95e0fadab1fac300b7c996d25","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-2023-black/","рекомендує цей товар","Гучний акумулятор","Камера дисплей","кілька днів","Телефон купувався для дорослого чоловіка ,телефон гучний,шрифт більш-менш видно,довго тримає батарея,ціна добра,дисплей не дуже яскравий та и камера 0.3 не розумію нащо там потрібна.В цілому.телефон нормальний."
"Мобільний телефон 2E E280 2022 Black (688130245210)","da90a8988089da925c2c8044b2e780e3","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e280-2022-black-688130245210/","не рекомендує цей товар","Працює. Телефонувати можна","Все погано","кілька днів","Лайно якесь дешеве.... Звук такий собі. Динамік виклику ніякий, звук мелодій мерзотний."
"Мобільний телефон 2E E280 2022 Black (688130245210)","da90a8988089da925c2c8044b2e780e3","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e280-2022-black-688130245210/","рекомендує цей товар","Отличная звонилка, как для второго телефона для связи, то что нужно, звук громкий, батарея держит норм","не нашел за такие деньги","кілька місяців","На две симкарты, связь ловит нормально, при этом он довольно таки громкий. Покупал себе для работы вторую звонилку, и с главными функциями справился, все работает, батарея держит норм, в общем я остался доволен, мои потребности он удовлетворил, по этому рекомендую к покупке."
"Мобільний телефон 2E E240 2022 Black (688130245159)","c34abe4e23c5ca13b3575068a5d59fa4","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-2022-black-688130245159/","рекомендує цей товар","Комфортний у руці, гарно зібраний","лише один динамік","кілька днів","Купувався як додатковий для важливих дзвінків. Основними параметрами були: екран не менше ніж 2.4 дюйми, зручні клавіші та комфортність утримання в руці.
Ціна на такий телефон приємна. Можна рекомендувати до покупки. Зробив огляд на телефон."
"Мобільний телефон 2E E240 Power DualSim Black (680576170088)","1ec053afb188744c86a88a91ebcc0522","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-power-dualsim-black-680576170088/","не рекомендує цей товар","акб 3000","повний  шлак, пластик дешевий кнопки хрустять глючить","кілька годин",""
"Мобільний телефон 2E E240 2023 Black (688130251068)","202ad3b95e0fadab1fac300b7c996d25","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-2023-black/","рекомендує цей товар","Чудовий ліхтарик, окрема кнопка збоку!.Класна батарея 2500 mAh та ще й змінна!.Сучасний дизайн, великий екран тацифри на кнопках!.FM-радіо робить без гарнітури (навушників) в самому телефоні","Камера, мильна і ніякої стабілізації! Але як для 0,3 її мабуть мало б хватати","кілька днів","Брав родичу на подарунок, саме такий колись вибрав. Чудовий телефон в плані подзвонити, і послухати новини коли є час. Та й ліхтарик він тут точковий досить потужний як на такого малюка зайвим не буде у вечірній час( цікава фішка про яку не знають - він(ліхтар) вмикається та вимикається окремою кнопкою збоку телефону навіть тоді коли телефон вимкнено, тобто на пряму як звичайний ліхтарик). Є примітивний інтернет браузер. та плеєр аудіо та фото/відео. Одразу докупіть карточку на 16 GB (наприклад: Kioxia MicroSDHC 16GB UHS-I Class 10 Exceria R100MB/s (LMEX1L016GG2) + SD-адаптер) тому що з коробки зможете зробити максимум 1 фото, так як вся пам'ять в телефоні зайнята. І в параметрах камери виберіть зберігати на карту пам'яті. Так само і з музикою, лише на карточку пам'яті.
Безумовним плюсом є зручність у користуванні, великі кнопки та цифри, довго тримаюча батарея (ще не просіла в 0 за кілька днів).

Одним славом класичний кнопочний телефон з кількома сучасними наворотами: кольоровий екран, камера, радіо, ліхтарик, 3 будильники, плеєр та 3.5 джек на навушники.
Рекомендую!"
"Мобільний телефон 2E E240 Power DualSim Black (680576170088)","1ec053afb188744c86a88a91ebcc0522","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-power-dualsim-black-680576170088/","не рекомендує цей товар","Телефон полный отстой..из хорошего только батарея и фонарик","Все..-скрипит сильно все (кнопки, корпус).-глянец на второй день в гов*о.-самое главное это его крайне плохая антена, в помещении или в регионах он просто умирает. даже на балконе работает с перебоями. постоянно пропадает сигнал, причем сразу у разных разных операторов (у двух симок) одновременно. даже если к комуто дозвонился, то людям меня очень плохо или вообне не слышно. постоянно бегаешь по дому в поисках сигнала и делений на антенке на экране..если на улице в центре города, то да еще можно по нему звонить, а в квартире уже практически нет","рік і більше","изза того что антена очень плохая, покупка этого телефона теряет всякий смысл.
даже своих денег как по мне он не стоит."
"Мобільний телефон 2E R240 Dual Sim Black","cee803a90a5d72654f7c3a006824ea9e","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-r240-dual-sim-black/","рекомендує цей товар","Батарею тримає тиждень, звук досить хороший, ліхтарик світить далеко, є захист від води","Досить громіздкий, камера дуже погана","рік і більше","Телефон був у користуванні кілька років. Пережив падіння і екран розбився, але далі функціонував. З часом став погано ловити мережу."
"Мобільний телефон 2E E180 2019 City Blue (680576170040)","c4e2c7bf89a6d4eab0362a8243389a41","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e180-2019-city-blue/","рекомендує цей товар","На довго вистачає батареї, простий в користуванні","слабка камера","кілька тижнів","купували телефон для бабусі яким вона дуже задоволена, перш за все досить великим екраном та кнопками на панелі, на довго вистачає батареї, дуже добре працює радіо та голосний сигнал телефону, також зручно що є фонарик. Телефон дуже зручний та простий у користуванні, особливо для літніх людей, рекомендую цей телефон для купівлі."
"Мобільний телефон 2E S180 DualSim Red","50d624f421eda33748748e37c3c46454","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-s180-dualsim-red/","рекомендує цей товар","","Кнопка сос не втему","кілька тижнів","Купили бабушке. Звук хороший заряд держит около 4х дней. Кнопки не скользят."
"Мобільний телефон 2E E240 DualSIM Black (708744071132)","ece753f8315d838a6fc815997c42f4a4","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-dual-sim-black/","рекомендує цей товар","работает, цена","нет","рік і більше","слышно хорошо, и меня слышат тоже работает нормально 3 дня держит заряд"
"Мобільний телефон 2E E280 2018 Dual Sim Black","8c66ec9ecff8d108243c990f69299063","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e280-2018-black/","рекомендує цей товар","Крупный шрифт меню, есть Черный список и быстрый набор 8 номеров, хорошо что есть импорт контактов с карты памяти, батареи хватает на неделю. Два динамика раздельно. Разговорный не слишком громкий на шумной улице или в метро","нет установки мелодий на контакт, но и в почившей Нокии 150 их тоже не было (( нельзя установить напоминание в Календаре, только просмотр календаря","кілька місяців","выбрал из-за двух динамиков и батареи на 1800 мАч. Звонилкой доволен"
"Мобільний телефон 2E E240 DualSIM Black/White (708744071217)","6f70f8baafe3493d943c3942031ffa0f","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-dual-sim-black-and-white/","рекомендує цей товар","Недорогий, компактний, зручний, ліхтарик","Жахлива камера","кілька тижнів","Можна рекомендувати для дзвінків"
"Мобільний телефон 2E E280 Dual Sim Black","11854aa98ec5cb608007eaf9ab68eee1","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e280-dual-sim-black/","не рекомендує цей товар","цена","java не поддерживается","кілька днів","простенькая звонилка"
"Мобільний телефон 2E E240 DualSIM Black/White (708744071217)","6f70f8baafe3493d943c3942031ffa0f","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e240-dual-sim-black-and-white/","не рекомендує цей товар","Батарея протримала 4.5 днів","Тільки одна стандартна мелодія, яка тихо грає. Можна додати картку пам'яті і налаштувати щоб грала музика звідти. Але час від часу телефон перестає бачити картку і грає стандартна тиха музика. Проблема не в картці, бо в іншому телефоні вона працює справно","кілька днів","Здав назад у магазин"
"Мобільний телефон 2E R180 Dual Sim Black","b12eab65506fb51cd03bc1ba38d4e0ab","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-r180-dual-sim-black/","не рекомендує цей товар","Защита от внешних воздействий, достаточная громкость динамика радио, наличие радио, наличие фонарика. Загрузка файлов с компьютера. Режим диктофона","Крайне низкое разрешение камеры, ограничение числа SMS-сообщений примерно 40 даже при наличии съёмной флеш-памяти 4 гига","кілька тижнів","Годится только в качестве телефона, фонарика (условно), радиоприёмника, диктофона и ""магнитофона"". Функция записи видео и фотографирования абсолютно бесполезны из-за низкого разрешения камеры. Невозможно получить снимок копий чеков или других документов. Диктофон пишет внешние звуки, запись телефонного разговора не удаётся. Переплачиваете только за ударопрочный водонепроницаемый корпус. Лучше бы они камеру-обманку не ставили. Да, можно использовать как дополнительный груз при самообороне - неплохо укладывается в руку."
"Мобільний телефон 2E E280 2018 Dual Sim Black","8c66ec9ecff8d108243c990f69299063","https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/2e-e280-2018-black/","рекомендує цей товар","2 симки. Емкость аккумулятора. Цена. Удобное меню. Размер и разборчивость шрифта (без очков). Возможность установки второго номера телефона для одного контакта","Невозможно поставить фотографию и мелодию звонка для отдельного контакта. Камера никакая, её наличие только удешевляет и без того бюджетную звонилочку","кілька днів","Отличный мобильник для использования по прямому назначению."
